instrument,Standard acronym,JE acronym,,,,,,,,,,,,,,
alto saxophone,as,straight-as,,,,,,,,,,,,,,
bass,b,sb,bb,db,bass,el-b,ac-b,,,,,,,,,
bass clarinet,bcl,contrabass-cl,b-cl,,,,,,,,,,,,,
banjo,bjo,bj,tenor-bj,tenor bj,,,,,,,,,,,,
baritone/bass saxophone,bs,bar,bsx,bssx,bassax,contrabass-sax,baritone,bars,,,,,,,,
clarinet,cl,Eb-cl,alto-cl,Bb-cl,,,,,,,,,,,,
drums,dr,d,snare-d,bass-d,,,,,,,,,,,,
flute,fl,pic-fl,bass-fl,b-fl,contrabass-fl,C-fl,,,,,,,,,,
flugelhorn,flg,flhrn,fhr,flh,fh,,,,,,,,,,,
guitar,g,elg,el-g,acoustic g,classical-g,classical g,pedal steel-g,prepared-g,rhythm-g,bar-g,steel-string-g,acoustic-g,sop-g,pedal-steel-g,nylon-string-g,st-g
organ,org,or,pipe or,o,pipe organ,,,,,,,,,,,
piano,p,prepared-p,el-p,,,,,,,,,,,,,
soprano saxophone,ss,sopranino-sax,sop,,,,,,,,,,,,,
trombone,tb,vtb,v-tb,b-tb,,,,,,,,,,,,
trumpet,tp,t,pocket-tp,b-t,,,,,,,,,,,,
tenor saxophone,ts,sax,tenor,,,,,,,,,,,,,
vocals,voc,v,shouting,scat v,vc,voice,rap,backing vcl,vcl,backing-vcl,backgrnd vcl,,,,,
vibraphone,vib,occasional vibraphone,,,,,,,,,,,,,,
violin,vln,vn,vl,tenor-vln,jazzaphone fiddle,fiddle,,,,,,,,,,
cornet,cor,c,cnt,,,,,,,,,,,,,
